id,text,label,wmd_rate
709,onde conseguiu isso,nao_argumento,0.7614332997220016
710,nesse caso nunca podemos fazer mal atacar matar diretamente criança através aborto bem salvando vida mãe possa resultar,argumento,0.758086211346002
711,escolha - única opção real mundo realmente - aborto seguro legal perigoso ilegal,argumento,0.788126601869002
712,emocionante ver estrutura apoio mulheres sendo desenvolvidas combater circunstâncias incluindo pobreza conveniência alguns homens levam aborto,nao_argumento,0.7799005233830016
713,contrastava marcadamente tradições médicas primitivas obscureciam linhas matar curar,nao_argumento,0.8038816422060019
715,feliz viver sociedade alguém fez sexo ou estuprado agora problema importa quanto odeie abordagem crianças quanto paternidade,argumento,0.7335702750940016
716,muitos outros estudos distúrbios individuais crianças tdah asma fibrose cística distrofia muscular duchenne - lista continua e sim inclui síndrome down revelam consistentemente saúde mental ruim mães comparação controles depressão ansiedade comumente estudado,nao_argumento,0.7536765982700016
717,vivemos mundo onde aborto pós-nascimento assassinato recém-nascidos ganhando popularidade,argumento,0.7954668692930019
718,citações documentos hospitalares médicos disseram chance morrer quase 100 procedimento,argumento,0.7843716004520014
719,privilégio cuidar todos dias,nao_argumento,0.8185689787130015
720,aborto cada desses quatro casos,nao_argumento,0.8037028697950015
721,mitt romney tão forte quanto qualquer questão garantir fim regime castro acho americanos cubanos apoiam ingresso romney-ryan,nao_argumento,0.7683390548970015
722,existem dezenas métodos controle natalidade podem impedir engravidar incluindo 100 eficaz abstinência,argumento,0.7519364748690016
723,mulheres terminaram primeira gravidez têm cinco vezes chances ectópicas,argumento,0.795486536086002
724,os argumentos liberdade concentram-se menos nesses preconceitos ônus gênero mulheres,nao_argumento,0.7717592716080014
725,justiça samuel alito tendo nada disso,nao_argumento,0.7921766308130014
726,causa morte simplesmente escolhi salvá-lo,nao_argumento,0.8032451278600016
727,tomasz latos membro partido governista lei justiça chefe comitê saúde sejm polonês câmara baixa parlamento disse ver legislação ameaça diagnóstico pré-natal “um ato má vontade incompetência,nao_argumento,0.8041944161480007
728,direito mãe decidir colocar filho nesse tipo sofrimento direito somente seu,argumento,0.778805375086002
729,- terminando vida podemos justificar atos,argumento,0.7880014463600015
730,bem onde agora,nao_argumento,0.7850472929870015
731,vez crânio esvaziado feto intacto removido corpo mulher,nao_argumento,0.8126048573170016
732,inadmissíveis sempre verdadeiras,nao_argumento,0.7918182800680015
733,versão anterior legislação morta obstrutor organizado sen estadual wendy davis d,nao_argumento,0.827625828413002
734,pode sinceramente considerar mulher posição igual sociedade menos opção remover desafios surgirão gravidez,argumento,0.7687040692620012
735,acho exista alguma confusão personalidade começa concepção,argumento,0.7745303515180011
736,começarei dizendo acho cristãos devam eleitores única questão ministério cristo questão única,nao_argumento,0.7707179269690013
737,aborto injusto porque direito morto fundamental direito estar grávida,argumento,0.7613216188920019
739,sabemos maçã certamente sabemos humano,nao_argumento,0.7873053153500016
740,algumas pessoas dizem autoconsciência torna humano,nao_argumento,0.7999243168730014
741,lembre-se uso ilustração significar mulheres apenas máquinas fazer bebês,nao_argumento,0.777981254740002
742,na américa merecemos trump escreveu apoiava direito mulher escolher,argumento,0.8088369524730019
743,grau dependência viabilidade torna humanos todos dependem insulina remédios rins valiosos podemos matá-los,argumento,0.7773553641400012
744,estatísticas dizem existem 0 6 mortes 100 000 abortos realidade existem 100 000 6 mortes 100 000 abortos,argumento,0.7771620544630016
745,afirmei claramente aborto indireto moralmente admissível ensino igreja induzir trabalho remover placenta independentemente pré pós-viabilidade,argumento,0.7644491149490014
746,mulher grávida sente automaticamente bebê nascer difícil mulheres fazerem aborto responsabilidade recai pessoas impedir gravidez existem pessoas aí correm risco recusam responsabilidade significa todos demais devam pagar preço isso,argumento,0.7610335356700011
747,dados gallup porcentagem entrevistados dizem candidato deve compartilhar opiniões aborto flutuou 13 20,nao_argumento,0.7758413352500011
748,crescendo ventre mulher vivo,argumento,0.8471987839310016
750,cientificamente sabemos desde primeiros estágios desenvolvimento nascituros seres humanos distintos vivos inteiros,argumento,0.8013488906420015
751,única vez vejo declínio líquido mensurável sentimento pró-escolha relação sentimento pró-vida grupo restringe respondentes alta intensidade,nao_argumento,0.7864497639220015
752,aborto precoce pode tratado pílulas sucção várias maneiras serem exploradas incomum aborto bebês desenvolvidos tardiamente,argumento,0.7928438491300013
753,torna-se questão completamente diferente conexão dois indivíduos ameaça seriamente vida pessoa comum,nao_argumento,0.7777827027770016
754,quase todos legisladores opõem direitos aborto apóiam pena morte,nao_argumento,0.8090034191880019
755,usam palavras repetidamente repeti-las frequência suficiente alguma forma fizesse decidir bolota verdade carvalho caixa ovos geladeira possuir dúzia galinhas,argumento,0.7835655699820007
756,disputa adulto direitos vinculados feto status ambíguo adulto vence,argumento,0.814692251704002
757,discordam radicalmente aplicar princípio vida humana valiosa ambos assumem apelam princípio,nao_argumento,0.7990713743960016
758,estados unidos grupos pró-vida favorecem maiores restrições legais aborto proibição total aborto,argumento,0.8112029259300015
759,setenta cento eua abortos realizados mulheres cristãs,nao_argumento,0.8407361270130012
