id,text,label,wmd_rate
709,onde conseguiu isso,nao_argumento,0.7572284473230076
710,nesse caso nunca podemos fazer mal atacar matar diretamente criança através aborto bem salvando vida mãe possa resultar,argumento,0.7286528835740081
711,escolha - única opção real mundo realmente - aborto seguro legal perigoso ilegal,argumento,0.7580425782150081
712,emocionante ver estrutura apoio mulheres sendo desenvolvidas combater circunstâncias incluindo pobreza conveniência alguns homens levam aborto,nao_argumento,0.7505091068900077
713,contrastava marcadamente tradições médicas primitivas obscureciam linhas matar curar,nao_argumento,0.7504400048700081
715,feliz viver sociedade alguém fez sexo ou estuprado agora problema importa quanto odeie abordagem crianças quanto paternidade,argumento,0.7261354016060076
716,muitos outros estudos distúrbios individuais crianças tdah asma fibrose cística distrofia muscular duchenne - lista continua e sim inclui síndrome down revelam consistentemente saúde mental ruim mães comparação controles depressão ansiedade comumente estudado,nao_argumento,0.7166831360700077
717,vivemos mundo onde aborto pós-nascimento assassinato recém-nascidos ganhando popularidade,argumento,0.768542115315008
718,citações documentos hospitalares médicos disseram chance morrer quase 100 procedimento,argumento,0.7529819695300074
719,privilégio cuidar todos dias,nao_argumento,0.7932782942700076
720,aborto cada desses quatro casos,nao_argumento,0.7784641715600077
721,mitt romney tão forte quanto qualquer questão garantir fim regime castro acho americanos cubanos apoiam ingresso romney-ryan,nao_argumento,0.7358249879040076
722,existem dezenas métodos controle natalidade podem impedir engravidar incluindo 100 eficaz abstinência,argumento,0.7374935877530077
723,mulheres terminaram primeira gravidez têm cinco vezes chances ectópicas,argumento,0.7730173650300081
724,os argumentos liberdade concentram-se menos nesses preconceitos ônus gênero mulheres,nao_argumento,0.7546790109100076
725,justiça samuel alito tendo nada disso,nao_argumento,0.7701364065000075
726,causa morte simplesmente escolhi salvá-lo,nao_argumento,0.7597375262500077
727,tomasz latos membro partido governista lei justiça chefe comitê saúde sejm polonês câmara baixa parlamento disse ver legislação ameaça diagnóstico pré-natal “um ato má vontade incompetência,nao_argumento,0.7630507239160068
728,direito mãe decidir colocar filho nesse tipo sofrimento direito somente seu,argumento,0.757457730030008
729,- terminando vida podemos justificar atos,argumento,0.7673380191200077
730,bem onde agora,nao_argumento,0.7671392239350077
731,vez crânio esvaziado feto intacto removido corpo mulher,nao_argumento,0.7816405801500077
732,inadmissíveis sempre verdadeiras,nao_argumento,0.7568236845420077
733,versão anterior legislação morta obstrutor organizado sen estadual wendy davis d,nao_argumento,0.785567593632008
734,pode sinceramente considerar mulher posição igual sociedade menos opção remover desafios surgirão gravidez,argumento,0.7357601615460072
735,acho exista alguma confusão personalidade começa concepção,argumento,0.7444641317280072
736,começarei dizendo acho cristãos devam eleitores única questão ministério cristo questão única,nao_argumento,0.7424136803310074
737,aborto injusto porque direito morto fundamental direito estar grávida,argumento,0.745523928591008
739,sabemos maçã certamente sabemos humano,nao_argumento,0.7398032007900077
740,algumas pessoas dizem autoconsciência torna humano,nao_argumento,0.7566408305880075
741,lembre-se uso ilustração significar mulheres apenas máquinas fazer bebês,nao_argumento,0.750932983284008
742,na américa merecemos trump escreveu apoiava direito mulher escolher,argumento,0.7659961866660081
743,grau dependência viabilidade torna humanos todos dependem insulina remédios rins valiosos podemos matá-los,argumento,0.7405204153080073
744,estatísticas dizem existem 0 6 mortes 100 000 abortos realidade existem 100 000 6 mortes 100 000 abortos,argumento,0.7713315640690076
745,afirmei claramente aborto indireto moralmente admissível ensino igreja induzir trabalho remover placenta independentemente pré pós-viabilidade,argumento,0.7299992617620075
746,mulher grávida sente automaticamente bebê nascer difícil mulheres fazerem aborto responsabilidade recai pessoas impedir gravidez existem pessoas aí correm risco recusam responsabilidade significa todos demais devam pagar preço isso,argumento,0.7347925130850073
747,dados gallup porcentagem entrevistados dizem candidato deve compartilhar opiniões aborto flutuou 13 20,nao_argumento,0.7532619753390073
748,crescendo ventre mulher vivo,argumento,0.8092449341100076
750,cientificamente sabemos desde primeiros estágios desenvolvimento nascituros seres humanos distintos vivos inteiros,argumento,0.7557904610180077
751,única vez vejo declínio líquido mensurável sentimento pró-escolha relação sentimento pró-vida grupo restringe respondentes alta intensidade,nao_argumento,0.7400445180200076
752,aborto precoce pode tratado pílulas sucção várias maneiras serem exploradas incomum aborto bebês desenvolvidos tardiamente,argumento,0.7536088054540074
753,torna-se questão completamente diferente conexão dois indivíduos ameaça seriamente vida pessoa comum,nao_argumento,0.7476225532930076
754,quase todos legisladores opõem direitos aborto apóiam pena morte,nao_argumento,0.761593565880008
755,usam palavras repetidamente repeti-las frequência suficiente alguma forma fizesse decidir bolota verdade carvalho caixa ovos geladeira possuir dúzia galinhas,argumento,0.7458134698140069
756,disputa adulto direitos vinculados feto status ambíguo adulto vence,argumento,0.7741933268100081
757,discordam radicalmente aplicar princípio vida humana valiosa ambos assumem apelam princípio,nao_argumento,0.7502732856540076
758,estados unidos grupos pró-vida favorecem maiores restrições legais aborto proibição total aborto,argumento,0.7725609369340076
759,setenta cento eua abortos realizados mulheres cristãs,nao_argumento,0.8045791995120073
760,queremos respeitados trabalho fazemos mães,nao_argumento,0.7708595364300076
761, também vale pena notar muitas mulheres podem receber abortos termo cedo descobrirem filho síndrome down vez disponíveis testes iniciais podem usados ​​no primeiro trimestre menos relevante debate aborto longo prazo muitos pró-lifers sugerem,argumento,0.7327959663120065
762,prejudica fuga fraca menos honesta fingir sabemos maçã apenas desculpa alegar sabemos aborto,argumento,0.7218693228720074
763,embora havido nenhum caso contra médicos realizasse tal aborto ni,nao_argumento,0.7318933666400075
764,conceito fundamental mulheres,argumento,0.7902883590900077
765,coração jacob afundou viu mudar voto não sim - abortos 20 semanas deveriam legais,nao_argumento,0.7443169115580073
766,pró reivindicar direitos aborto duas principais originalidades,nao_argumento,0.7803241095240073
767,alguns abortos acontecem causa pressões sociais,argumento,0.7751667781270074
768,fatos científicos claros demais negar faz sentido legal negar princípio jurídico pois lei deve defender direito vida deve fazer,argumento,0.7209554516560073
769,todos servos defenderam dia receberam imunidade computadores incriminadores destruídos fbi,nao_argumento,0.7700355469300075
770,argumento sensato - tirássemos números chapéu algo assim,nao_argumento,0.7354107448680073
771,apenas pequena porcentagem médicos realiza abortos maioria apóia aborto legal interesse bom atendimento médico,argumento,0.755297095278007
772,além disso mulheres novamente forçadas violar lei receber assistência médica e vez dignidade perdida processo,argumento,0.7420235230780075
773,sociedade bioeticistas lei têm aceitar lei concede mesmos direitos humanos qualquer outra pessoa embrião feto sob direito internacional eu lado contra aborto lei está exceto casos extremos onde ambas pessoas perigo iminente risco extremo saúde morte,nao_argumento,0.740734307475008
774,entanto alguns estudos descobriram radiação telefones celulares pode aumentar chance desenvolver câncer outros problemas saúde,nao_argumento,0.7589656003850074
775,pessoas justificam pontos vista aborto argumentando contra humanidade nascituros ainda precisamos conversar isso acho força motriz trás razão maioria pessoas favor escolha,nao_argumento,0.7268184263200073
776,ah problema é,nao_argumento,0.7736960215410077
777,caso 2 onde feto pessoa sabe disso aborto homicídio culposo,argumento,0.7462864735700074
778,debate significativo quando durante gravidez feto pode sentir dor,nao_argumento,0.744031948638008
779,semelhanças processuais procedimentos d d x contribuíram preocupação linguagem proibições aborto nascimento parcial possa proibir dois métodos aborto,nao_argumento,0.748626771210008
780,aviso extremamente gráfico,nao_argumento,0.7872226580730077
781,trunfo evoluí muitas questões longo anos,nao_argumento,0.7705806257620074
782,sotomayor ficou impressionada brincando dizendo que embora boa matemática pareceu pequena porcentagem,nao_argumento,0.7285389927160076
783,mostrei fotos desenvolvimento fetal folheto eri,nao_argumento,0.7860352662900075
784,poderia ajudar entender onde linha quê,nao_argumento,0.7438202260460075
785,senso comum moral tradicionais dizem todos seres humanos pessoas têm direitos,argumento,0.752388340992008
786,portanto podemos dizer motoristas bêbados causam mortes dirigir alcoolizado,nao_argumento,0.721515030954008
787,contribuintes precisam pagar acreditam imoral,argumento,0.7474984175400077
788,hesitamos suprimir desativar processos normais saúde geral,nao_argumento,0.7682947061010073
789,estar grávida pode difícil algumas mulheres levar suicídio mulher gravidez indesejada,argumento,0.7646683886490081
790,três primeiras categorias relatório pode indicar problemas significativos falta acesso “a grande maioria pacientes segundo trimestre preferiria feito aborto cedo resultados sugerem mulheres negras pessoas menos escolaridade beneficiar aumento acesso serviços aborto precoce,argumento,0.7416229177050064
791,acordo direito vida mulher direito mitigar risco pessoa,argumento,0.7816669600800077
792,lado várias alterações personalidade tornando óvulo fertilizado igual mulher falharam principalmente outro representantes movimento linha-dura nascimento forçado pareciam realizar muitos dias eleições,nao_argumento,0.7440056081700072
793,incerteza causa enorme tensão enorme ansiedade social - karl popper corretamente chamou tensão civilização,nao_argumento,0.7531028074830074
794,levou lado pró-vida impressão vezes predominante aborto defeitos fetais nunca necessário sim desculpa mulheres preguiçosas livrarem crianças atendem ideais,argumento,0.734666635572007
795,tornando aborto ilegal,nao_argumento,0.7905122114970076
796,nível desenvolvimento verdade embriões fetos menos desenvolvidos adultos tornarão dia,nao_argumento,0.7618642728100075
797,aborto basicamente assassinato,argumento,0.7851028341960077
798,mídia ousou permitir exibida,nao_argumento,0.7789710159500077
799,e entanto coisas constantemente presentes mundo moderno historicamente porque responsáveis ​​por circunstâncias validam ato pode moralmente errado,nao_argumento,0.7028490484800076
800,contrário argumentos igualdade têm premissa visão restrições aborto podem mulheres não-nascidos - ambos e,nao_argumento,0.7387419519870073
801,maioria acha decisão aborto deve deixada mulher médico,argumento,0.7593060164400077
802,pode haver boas razões criminalizar mulheres praticam aborto ação moralmente equivalente assassinato,nao_argumento,0.7461301353090077
803,constituição protege vários direitos mencionados especificamente derivados meio interpretação suprema tribunal outros direitos,nao_argumento,0.7744574598810073
804, devo acrescentar hospital notificou imprensa - diocese enviou sr,nao_argumento,0.7833656137700077
805,argumento igual estatura cidadania central visão constitucional justiça ginsburg veja geralmente neil s siegel estatura igual cidadania visão constitucional justiça ginsburg 43 eng,nao_argumento,0.7560360547910073
