text,label,wmd_rate
segundo organização nações unidas – onu “a problematização criminalidade jovens brasil tangencia fatores sociais econômicos políticos acima tudo educacionais”,0,0.762058784998008
logo questão sistêmica agregar deficiências sérias nesses setores influenciar realidade descaso – desemprego má distribuição renda educação básica questionável apresentar baixos índices avaliações índice desenvolvimento educação básica ideb outros,0,0.7523906597900071
portanto imprescindível exista reavaliação governamental diante dessas linhas sociais pois estado deficitário ocasiona quadro injusto população jovem,1,0.7134153952440077
base nessas considerações perceptível solução impasse apresentado responde governabilidade ruim cuja gestão ministérios existentes repercutem ações fracas ineficientes combater sistematicamente criminalidade,1,0.7424382448830085
modo adianta abordar mudanças educação criança adolescente distintos segmentos sociais fatores citados cima mostram inúmeros desequilíbrios sociedade,0,0.7528585570380076
além disso precisa haver diagnóstico situações concretas buscando reavaliar principais circunstâncias adjetivam injustiças sociais exemplo criminalizar maneira enérgica corruptos saqueiam cofres públicos consequentemente afetam inúmeras famílias necessitam educação filhos saúde qualidade bem emprego digno pais,1,0.7157802890270081
medidas ajudariam construir brasil onde jovem precisaria sair escola procurar trabalho torná-los vulneráveis drogas,0,0.7554311075310071
último necessário estado forte comprometido população adequando gestões façam diferença sociedade,0,0.759833767608008
ademais outras intervenções sociais podem ajudar resolver problema,0,0.7472371416200076
ministério educação ministro ricardo vélez rodriguez podem desenvolver parceria junto grande média – rádios televisão jornais fim criar projeto social informativo perigos criminalidade jovens,1,0.7713126515760069
projeto poderia premiar trabalhos apresentassem temas combate criminalidade bolsas estudos melhores universidades país,1,0.7803548858700072
tanto realizando mudanças país justo desenvolveria pessoas éticas socialmente,0,0.7534161913680081
criminalidade jovens brasileiros 12 17 anos brasil sofreu aumento significativo últimos anos segundo fórum brasileiro segurança pública,0,0.7780226873980077
realidade brasileira segue mesma tendência demais países emergentes cujas desigualdades sociais somadas omissão estado impulsionam iniciação cada vez precoce jovens mundo crime,1,0.748510051575007
apesar brasil atualidade encontrar-se países maior produção riqueza dados ibge instituto brasileiro geografia estatística apontam maior parcela desta riqueza concentra-se 10 ricos população,1,0.7571608558420069
neste cenário muitos jovens brasileiros situação risco veem crime única oportunidade superarar pobreza ascender socialmente,1,0.7516384368330075
suficiente descaso governo acerca assuntos tangem educação aplicação políticas inclusão colaboram ainda aumento desta taxa criminalidade,1,0.7464276233700077
devido decadência sistema público ensino evasão escolar jovens baixa renda alta caso jovem conclua ensino básico cotas inclusão suficientes atender demanda deste grupo relação qualificação profissional inserção mercado trabalho,0,0.7564674638420069
dessa forma causas aumento criminalidade jovens brasileiros múltiplas possui pilar principal desigualdade social amparada omissão ineficiência estado,1,0.7581358736280077
superar quadro violência políticas inclusão bastam deve haver políticas visem melhor redistribuição renda país incentivos busquem melhoria sistema básico ensino público assim capacitação destes jovens mercado trabalho,1,0.7446971264080069
participação jovens crimes praticados brasil crescendo assustadoramente conforme anuário divulgado final 2017 fórum brasileiro segurança pública,1,0.7701131625100077
resolver problema governo deverá atuar três áreas esporte profissional educacional,0,0.7710900334200074
importante dessas áreas educacional,0,0.7915439653800076
estudos revelaram alto índice evasão escolar país,0,0.7900377606840073
estado deverá criar programas conter evasão estimulando jovem importância estudos melhorando estruturas escolas tornar ambiente agradável investindo formação salário professores realizem bom trabalho,1,0.7556133006760068
educação caminho seguro afastar jovens criminalidade prepará-los mercado profissional,1,0.788937104763008
área profissional governo deverá incentivar empresas investirem programas aprendizagens jovens,1,0.7863920540300074
programas além permitirem jovem fonte renda permitirá participação mercado trabalho experiência profissional maturidade ocupação conhecimento autoconfiança,1,0.7599814877100077
características essenciais proporcionar jovem oportunidade ingressar mercado trabalho,1,0.7806467099600076
último menos importante área esportiva,0,0.7865659961700077
sabe benefícios esporte traz saúde física além disso existem benefícios formação caráter jovens,0,0.7530074140620073
esporte ensina jovens trabalhar equipe disciplina esforço determinação perder ganhar competir,1,0.782571304650008
outra área estado deverá investir formar juventude personalidade forte brio,1,0.7750430321800074
tendo vista aspectos observados solução conter afastar jovens criminalidade quão eficiente ações governo estarão voltadas investimento conciliação três áreas pois assim permitirá jovens percorram caminhos tortuosos,1,0.7246103167230069
filme norte americano “coach carter treino vida” diretor tomas carter revelado quão imersos criminalidade jovens zona pobre richmond califórnia trabalho rígido treinador basquete educar moralmente atletas,0,0.7723277028510068
passado recente cenário brasileiro diferencia tanto daquele filme visto pobreza empurra infantes mundo crime flexibilização leis incentivam permanecer comportamentos torpes,1,0.748640448900008
primeira análise preciso reconhecer nessa idade indivíduos vulneráveis sentimentalmente pobreza agrava condição torna-se uns canais recrutamento tráfico exemplo,1,0.745198983624008
clamor social redução maioridade penal evidência quanto criminalidade seduzido milhares jovens adolescentes,1,0.7645719831580077
embora equivocada proposta alteração legislativa assim treinador carter ligou rigorosamente jovens brasileiros podem receber tratamento ameno,0,0.7290217314500076
seguindo ótica leis brasileiras bem agentes segurança contribuem permanência jovens criminalidade sobretudo reincidência crimes visto interpretam forma facilita saída infratores reclusão,1,0.7451997974250084
fica evidente dispositivos generosos progressão pena constante código penal estatuto criança adolescente – eca prevê penas duras menores reincidentes,0,0.755377511668008
diante dessa aparente falta medidas disciplinares eficientes ilógico imaginar fácil desobediência jovens legislação vigente,0,0.7445443973820071
frente explanado situação jovens brasileiros mergulhados criminalidade grave tanto próprios sociedade fica ainda aterrorizada,0,0.7542468653680071
congresso nacional precisa trabalhar adequação leis realidade brasileira alterar regras regressão pena aperfeiçoamento eca secretárias educação estados municípios precisam fomentar políticas públicas aumentem envolvimento jovens esporte porque assim infantes podem sonhar mesma vida digna sonhada treinador carter liderados,1,0.7292405237760063
2017 dado proferido organização nações unidas onu delineou brasil sétimo país maiores taxas morte jovens,0,0.7794956179920075
nessa perspectiva apesar recente tal pesquisa reflete cenário alicerçado formação desigual país portanto mostra-se ineficaz garantir efetivamente normas necessárias desenvolvimento sujeito,0,0.7100174145900084
dessa maneira diante marginalização direitos torna-se inegável discussão criminalidade jovens fito evitar associação crime válvula escape permita ascensão social,1,0.7472536169220069
nesse ínterim medida desigualdade social atinge camadas específicas território brasileiro jovem tende perder qualidade direitos consequentemente exposto situações violência,1,0.7434096963060068
fato tal conjuntura relaciona-se teoria controle social proposta sociólogo travis hirschi crimes ocorrem laços sociais indivíduo mantém sociedade encontram enfraquecidos rompidos,0,0.7425925042050084
modo pautada realidade distancia cada vez modelos vinculem esforços êxitos muitas vezes realização atos ilícitos ocasionada tentativa equiparar falhas existentes meio social indivíduo,0,0.7377210089820069
paralelo afirmar tráfico drogas roubo qualificado respectivos crimes cometidos adolescentes conselho nacional justiça cnj corrobora contexto expressa vulnerabilidade indivíduo diante ausência emprego acesso educação qualquer outro meio necessário renda dignidade humana,1,0.7445877055560065
ademais ausência suporte familiar pode indiciar primeiros sinais desamparo jovem subsequentemente primeiras tendências crime adolescência – período pessoa mostra suscetível influências externas referentes formação conceitos si,1,0.734881014510008
diante exposto fim efetivação direitos jovens reverta associação criminalidade necessário ministério trabalho mt parceria ministério educação mec fortaleça lei aprendizagem escolas áreas baixas rendas intuito inserir alunos funções produtivas bem geração renda àqueles habitam situações vulnerabilidade social,1,0.7493895704730065
fim centro referência especializado assistência social creas deve atuar através profissionais área tanto suporte jurídico social tanto famílias risco quanto monitoramento daqueles cumprem medidas socioeducativas,1,0.7429561721400078
poder-se-á assim equiparar oportunidades desenvolvimento jovens brasil,0,0.7579579221810072
computador criado alan turing principal finalidade decifrar códigos alemães durante guerras,0,0.764757903453008
posteriormente conforme necessidades épocas tal máquina passou desempenhar ampliar funções,0,0.7472012993300075
nesse contexto pode-se afirmar uso demasiado tecnologia dia dia homem corrobora tentativa torna-lo obediente influências digitais,1,0.7407665200700077
primeira instância cabe pontuar busca praticidade conforto homem estreitou relação tecnologia,1,0.7613213903070081
passou evidente partir século xix revolução industrial mão obra passou substituída máquinas,1,0.7797197213380077
além finalidade produtiva tecnologia destaca campo comunicação vez permite indivíduo maior alcance mensagens faz tempo real facilitando portanto interação comunicativa usuários,1,0.7249757207790084
dessa forma percebe-se forte presença necessidade aparatos tecnológicos cotidiano sociedade,0,0.7581944884200075
ademais vale frisar uso exacerbado tecnologia permite atue decisões homem meio sistema controle dados capaz acesso preferências internautas assim moldar forma pensar,1,0.7204514801250071
