id,text,class,arg
1,"reavaliar principais circunstâncias adjetivam injustiças sociais como, exemplo, criminalizar maneira enérgica corruptos saqueiam cofres públicos",PI,0.7412722803580013
1,"O Ministério Educação então ministro Ricardo Vélez Rodriguez, podem desenvolver parceria junto grande média – rádios, televisão jornais, fim criar projeto social informativo perigos criminalidade jovens.",PI,0.799793008481001
1,premiar trabalhos apresentassem temas combate à criminalidade bolsas estudos melhores Universidades País.,PI,0.8299915370270012
1,"imprescindível exista reavaliação governamental diante dessas linhas sociais, pois Estado deficitário ocasiona quadro injusto à população jovem",Tese,0.7444274102050012
1,"é perceptível solução impasse apresentado responde governabilidade ruim, cuja gestão Ministérios existentes repercutem ações fracas ineficientes combater sistematicamente criminalidade.",Argumento,0.7935243064300017
2,desigualdades sociais somadas à omissão Estado impulsionam iniciação cada vez precoce jovens mundo crime,Tese,0.8048845940150015
2,"encontrar-se países maior produção riqueza, dados IBGE (Instituto Brasileiro Geografia Estatística) apontam maior parcela desta riqueza concentra-se 10% ricos população.Neste cenário, muitos jovens brasileiros situação risco veem crime única oportunidade superarar pobreza ascender socialmente",Argumento,0.7434208091700011
2,descaso governo acerca assuntos tangem à educação aplicação políticas inclusão colaboram ainda aumento desta taxa criminalidade.,Argumento,0.7719028612490012
2,"ara superar quadro violência políticas inclusão não bastam, deve haver políticas visem melhor redistribuição renda país incentivos busquem melhoria sistema básico ensino público, assim também, capacitação destes jovens mercado trabalho.",PI,0.7586652425540014
2,"Dessa forma, causas aumento criminalidade jovens brasileiros são múltiplas, possui pilar principal desigualdade social amparada omissão ineficiência Estado.",Argumento,0.7834100279550009
3,"Estado deverá criar programas conter evasão, como: estimulando jovem importância estudos; melhorando estruturas escolas tornar ambiente agradável; investindo formação salário professores realizem bom trabalho.",PI,0.7806229301740016
3,"Já área profissional, Governo deverá incentivar empresas investirem programas aprendizagens jovens.",PI,0.810613171258001
3,"Esses programas além permitirem jovem fonte renda, permitirá também participação mercado trabalho, experiência profissional, maturidade, ocupação, conhecimento autoconfiança.Características essenciais proporcionar jovem oportunidade ingressar mercado trabalho.",Argumento,0.8078173621255011
3,"Por isso, é outra área Estado deverá investir formar juventude personalidade forte br",PI,0.7976618646720014
3,A educação é caminho seguro afastar jovens criminalidade prepará-los mercado profissiona,Argumento,0.806209074353001
3,"participação jovens crimes praticados Brasil crescendo assustadoramente, conforme anuário divulgado final Fórum Brasileiro Segurança Pública.Para resolver problema, Governo deverá atuar três áreas: esporte, profissional educacional.",Tese,0.7918085728835011
3,"endo vista aspectos observados, solução conter afastar jovens criminalidade está quão eficiente ações Governo estarão voltadas investimento conciliação três áreas, pois assim, permitirá jovens percorram caminhos não tortuosos.",PI,0.7518766746630015
3,"O esporte ensina jovens trabalhar equipe, disciplina, esforço, determinação, perder, ganhar competir.",Argumento,0.8111158421630013
4,"pobreza empurra infantes mundo crime, também flexibilização leis incentivam permanecer comportamentos torpes",Tese,0.7990142900470012
4,"idade indivíduos são vulneráveis sentimentalmente pobreza agrava condição torna-se uns canais recrutamento tráfico, exemplo.",Argumento,0.8052722372300015
4,O clamor social redução maioridade penal é evidência quanto criminalidade seduzido milhares jovens adolescentes.,Argumento,0.7838810471530016
4,"leis brasileiras bem agentes segurança contribuem permanência jovens criminalidade, sobretudo reincidência crimes, visto interpretam forma facilita saída infratores reclusão.",Argumento,0.8074930318140017
4,"Congresso Nacional precisa trabalhar adequação leis à realidade brasileira, alterar regras regressão pena aperfeiçoamento ECA; já secretárias educação, estados municípios, precisam fomentar políticas públicas aumentem envolvimento jovens esporte porque assim infantes podem sonhar mesma vida digna sonhada treinador Carter liderados",PI,0.7548797582700008
5,"necessário Ministério Trabalho (MT) parceria Ministério Educação (MEC) fortaleça Lei Aprendizagem escolas áreas baixas rendas intuito inserir alunos funções produtivas, bem geração renda àqueles habitam situações vulnerabilidade social.Por fim, Centro Referência Especializado Assistência Social (Creas), deve atuar através profissionais área, tanto suporte jurídico social tanto famílias risco, quanto monitoramento daqueles cumprem medidas socioeducativas",PI,0.7801090904515016
