id,label,text,len_text
709,nao_argumento,onde você conseguiu isso? ,4
710,argumento,"nesse caso, nunca podemos fazer o mal (atacar e matar diretamente uma criança através do aborto), para que o bem (salvando a vida da mãe) possa resultar. ",27
711,argumento,"a escolha - a única opção real, no mundo como realmente é - é entre o aborto seguro e legal e o perigoso e ilegal. ",25
712,nao_argumento,é emocionante ver uma estrutura de apoio para as mulheres sendo desenvolvidas para combater as circunstâncias (incluindo a pobreza e a conveniência de alguns homens) que levam ao aborto. ,29
713,nao_argumento,contrastava marcadamente com as tradições médicas mais primitivas que obscureciam as linhas entre matar e curar. ,16
714,nao_argumento,não há terceira possibilidade. ,4
715,argumento,"mas estou feliz por não viver em uma sociedade com alguém que fez sexo (ou foi estuprado), agora é seu problema, não importa o quanto você odeie a abordagem das crianças quanto à paternidade. ",34
716,nao_argumento,"muitos outros estudos de distúrbios individuais em crianças (TDAH, asma, fibrose cística, distrofia muscular de Duchenne - a lista continua e, sim, inclui a síndrome de Down) revelam consistentemente uma saúde mental ruim em suas mães em comparação com os controles (depressão e ansiedade são mais comumente estudado). ",48
717,argumento,"vivemos em um mundo onde o ""aborto pós-nascimento"", o assassinato de recém-nascidos, está ganhando popularidade. ",15
718,argumento,temos citações de documentos hospitalares que os médicos disseram que sua chance de morrer era quase 100% sem o procedimento. ,20
719,nao_argumento,"é meu privilégio cuidar dela todos os dias. "" ",9
720,nao_argumento,o que é aborto em cada um desses quatro casos? ,10
721,nao_argumento,"e mitt romney é tão forte quanto qualquer um nesta questão, para garantir o fim do regime de castro, e é por isso que acho que os americanos cubanos apoiam muito o ingresso de romney-ryan. ",35
722,argumento,"Existem dezenas de métodos de controle de natalidade que podem impedir você de engravidar, incluindo o 100% eficaz: a abstinência. ",20
723,argumento,as mulheres que terminaram a primeira gravidez têm cinco vezes mais chances de ter ectópicas. ,15
724,nao_argumento,Os argumentos da liberdade concentram-se menos nesses preconceitos e ônus de gênero nas mulheres. ,14
725,nao_argumento,justiça samuel alito está tendo nada disso. ,7
726,nao_argumento,mas eu não sou a causa de sua morte; simplesmente escolhi não salvá-lo. ,13
727,nao_argumento,"tomasz latos, membro do partido governista da lei e da justiça e chefe do comitê de saúde do sejm polonês, ou câmara baixa do parlamento, disse que ver a legislação como uma ameaça ao diagnóstico pré-natal era “um ato de má vontade ou incompetência. "" ",45
728,argumento,o direito de uma mãe de decidir não colocar seu filho nesse tipo de sofrimento é seu direito e somente seu. ,21
729,argumento,"- terminando uma vida, podemos justificar nossos atos? ",8
730,nao_argumento,"bem, onde estamos agora? ",4
731,nao_argumento,"uma vez que o crânio é esvaziado, o feto intacto é removido do corpo da mulher. ",16
732,nao_argumento,"não é que sejam inadmissíveis, mas que sejam sempre verdadeiras. ",10
733,nao_argumento,uma versão anterior da legislação foi morta por um obstrutor organizado por sen estadual. Wendy Davis (d). ,17
734,argumento,não se pode sinceramente considerar que uma mulher tem uma posição igual na sociedade se ela não tiver pelo menos a opção de remover os desafios que surgirão com a gravidez. ,31
735,argumento,eu não acho que exista alguma confusão; a personalidade começa na concepção. ,12
736,nao_argumento,"começarei dizendo que não acho que os cristãos devam ser eleitores de uma única questão, já que o ministério de Cristo não era uma questão única. ",26
737,argumento,o aborto é injusto porque o direito de não ser morto é mais fundamental do que o direito de não estar grávida. ,22
738,nao_argumento,qual lado está certo? ,4
739,nao_argumento,"se sabemos o que é uma maçã, certamente sabemos o que é um ser humano. ",15
740,nao_argumento,algumas pessoas dizem que a autoconsciência torna um humano. ,9
741,nao_argumento,"lembre-se de que não uso essa ilustração para significar que mulheres são apenas ""máquinas de fazer bebês. "" ",18
742,argumento,"Na ""América que merecemos"", Trump escreveu que apoiava o direito de uma mulher de escolher. ",15
743,argumento,"grau de dependência: se a viabilidade nos torna humanos, todos aqueles que dependem de insulina ou remédios para os rins não são valiosos e podemos matá-los. ",26
744,argumento,"suas estatísticas também dizem que existem 0,6 mortes por 100.000 abortos, quando na realidade existem 100.000,6 mortes por 100.000 abortos. ",20
745,argumento,"Afirmei claramente que o aborto indireto é moralmente admissível no ensino da igreja, que é o que seria induzir o trabalho de remover a placenta (independentemente de ser pré ou pós-viabilidade). ",31
746,argumento,"mulher grávida sente automaticamente o bebê por nascer, é difícil para as mulheres fazerem um aborto e a responsabilidade recai sobre as pessoas para impedir a gravidez, mas existem pessoas por aí que correm o risco e recusam a responsabilidade, mas isso não significa que todos os demais devam pagar o preço por isso. ",54
747,nao_argumento,"nos dados da gallup, a porcentagem de entrevistados que dizem que um candidato deve compartilhar suas opiniões sobre o aborto flutuou entre 13 e 20%. ",25
748,argumento,o que está crescendo no ventre da mulher está vivo. ,10
749,argumento,não há desculpa para um aborto. ,6
750,argumento,"cientificamente, sabemos que desde os primeiros estágios do desenvolvimento, os nascituros são seres humanos distintos, vivos e inteiros. ",18
751,nao_argumento,"é a única vez que não vejo um declínio líquido mensurável no sentimento pró-escolha, em relação ao sentimento pró-vida, quando o grupo se restringe a respondentes de alta intensidade. ",29
752,argumento,"e o aborto precoce pode ser tratado com pílulas, sucção e várias maneiras de serem exploradas, e é incomum o aborto de bebês desenvolvidos tardiamente. ",25
753,nao_argumento,mas torna-se uma questão completamente diferente se a conexão entre os dois indivíduos ameaça seriamente a vida da pessoa comum. ,20
754,nao_argumento,quase todos os legisladores que se opõem aos direitos ao aborto também apóiam a pena de morte. ,17
755,argumento,"eles usam essas palavras repetidamente, como se repeti-las com frequência suficiente de alguma forma nos fizesse decidir que uma bolota é na verdade um carvalho e ter uma caixa de ovos na geladeira é o mesmo que possuir uma dúzia de galinhas. ",42
756,argumento,"em uma disputa entre um adulto com direitos já vinculados e um feto com status ambíguo, o adulto vence. ",19
