id,label,text
1,PI,"reavaliar as principais circunstâncias que adjetivam essas injustiças sociais como, por exemplo, criminalizar de maneira mais enérgica os corruptos que saqueiam cofres públicos e"
1,PI,"O Ministério da Educação e seu então ministro Ricardo Vélez Rodriguez, podem desenvolver uma parceria junto a grande média – rádios, televisão e jornais, a fim de criar um projeto social e informativo sobre os perigos da criminalidade entre jovens."
1,PI,premiar trabalhos que apresentassem temas ao combate à criminalidade com bolsas de estudos na melhores Universidades do País.
1,tese,"imprescindível que exista uma reavaliação governamental diante dessas linhas sociais, pois um Estado deficitário ocasiona um quadro injusto à população jovem"
1,argumento,"é perceptível que a solução ao impasse apresentado responde a uma governabilidade ruim, cuja gestão dos Ministérios existentes repercutem ações fracas e ineficientes para combater sistematicamente a criminalidade."
2,tese,desigualdades sociais somadas à omissão do Estado impulsionam a iniciação cada vez mais precoce dos jovens no mundo do crime
2,argumento,"encontrar-se entre os países com maior produção de riqueza, dados do IBGE (Instituto Brasileiro de Geografia e Estatística) apontam que a maior parcela desta riqueza concentra-se entre os 10% mais ricos da população. Neste cenário, muitos jovens brasileiros em situação de risco veem o crime como única oportunidade de superarar a pobreza e ascender socialmente"
2,argumento,descaso do governo acerca dos assuntos que tangem à educação e a aplicação das políticas de inclusão colaboram ainda mais para o aumento desta taxa de criminalidade.
2,PI,"Para superar esse quadro de violência as políticas de inclusão não bastam, deve haver políticas que visem a melhor redistribuição de renda no país e incentivos que busquem a melhoria do sistema básico do ensino público, assim como também, a capacitação destes jovens para o mercado de trabalho."
2,argumento,"Dessa forma, as causas para o aumento da criminalidade entre os jovens brasileiros são múltiplas, mas possui como pilar principal a desigualdade social amparada na omissão e ineficiência do Estado."
3,PI,"Estado deverá criar programas para conter essa evasão, como: estimulando o jovem a importância dos estudos; melhorando as estruturas das escolas para tornar o ambiente mais agradável; investindo na formação e no salário dos professores para que esses realizem um bom trabalho."
3,PI,"Já na área profissional, o Governo deverá incentivar as empresas a investirem em programas de aprendizagens de jovens."
3,argumento,"Esses programas além de permitirem ao jovem uma fonte de renda, permitirá também sua participação ao mercado de trabalho, experiência profissional, maturidade, ocupação, conhecimento e autoconfiança. Características essenciais para proporcionar ao jovem uma oportunidade de ingressar ao mercado de trabalho."
3,PI,"Por isso, é outra área que o Estado deverá investir para formar uma juventude com personalidade forte e com muito br"
3,argumento,A educação é o caminho mais seguro para afastar os jovens da criminalidade e para prepará-los para o mercado profissiona
3,tese,"participação de jovens em crimes praticados no Brasil vem crescendo assustadoramente, conforme o anuário divulgado no final de 2017 do Fórum Brasileiro de Segurança Pública. Para resolver esse problema, o Governo deverá atuar em três áreas: esporte, profissional e educacional."
3,PI,"Tendo em vista os aspectos observados, a solução para conter e afastar os jovens da criminalidade está no quão eficiente as ações do Governo estarão voltadas no investimento e na conciliação entre essas três áreas, pois assim, permitirá aos jovens que percorram caminhos não tortuosos."
3,argumento,"O esporte ensina aos jovens a trabalhar em equipe, a disciplina, o esforço, a determinação, a perder, a ganhar e a competir."
4,tese,"a pobreza empurra os infantes para o mundo do crime, mas também a flexibilização das leis os incentivam a permanecer com esses comportamentos torpes"
4,argumento,"essa idade os indivíduos são vulneráveis sentimentalmente e que a pobreza agrava essa condição a qual torna-se uns dos canais para recrutamento para o tráfico, por exemplo."
4,argumento,O clamor social pela redução da maioridade penal é mais uma evidência do quanto a criminalidade tem seduzido milhares de jovens e adolescentes.
4,argumento,"as leis brasileiras bem como os agentes de segurança contribuem para a permanência dos jovens na criminalidade, sobretudo pela reincidência de crimes, visto que as interpretam de forma que facilita a saída dos infratores da reclusão."
4,PI,"o Congresso Nacional precisa trabalhar para a adequação das leis à realidade brasileira, como alterar as regras de regressão de pena e aperfeiçoamento do ECA; já as secretárias de educação, dos estados e municípios, precisam fomentar mais políticas públicas que aumentem o envolvimento dos jovens com o esporte porque assim os infantes podem sonhar com a mesma vida digna sonhada pelo treinador Carter para seus liderados"
5,PI,"necessário que o Ministério do Trabalho (MT) em parceria ao Ministério da Educação (MEC) fortaleça a Lei da Aprendizagem nas escolas em áreas de baixas rendas com o intuito de inserir os alunos a funções produtivas, bem como geração de renda àqueles que habitam situações de vulnerabilidade social. Por fim, o Centro de Referência Especializado de Assistência Social (Creas), deve atuar através de profissionais da área, tanto no suporte jurídico e social tanto as famílias em risco, quanto no monitoramento daqueles que cumprem medidas socioeducativas"
5,argumento,"o Conselho Nacional de Justiça (CNJ) corrobora um contexto que expressa vulnerabilidade do indivíduo diante da ausência de emprego, acesso à educação ou qualquer outro meio necessário a sua renda e dignidade humana"
5,argumento,"ausência de suporte familiar pode indiciar os primeiros sinais de desamparo ao jovem, e subsequentemente suas primeiras tendências ao crime na adolescência – período o qual pessoa se mostra mais suscetível a influências externas referentes à formação de conceitos sobre si mesmo"
